18:26:09.223 |I| Launcher                       | :1                             | Checking if build hasn't expired.
18:26:09.241 |I| Launcher                       | :1                             | Starting RiderFlow frontend
18:26:09.255 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
18:26:09.260 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
18:26:09.275 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
18:26:09.278 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 58092
18:26:09.281 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:27 | ServerSocket-UnityServer : accepting, port: 58092
18:26:14.698 |I| Launcher                       | :1                             | Creating Root ScriptableObject
18:26:14.700 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\bharg\AppData\Roaming\RiderFlow. Trying to extract use guid...
18:26:14.701 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
18:26:14.702 |I| Launcher                       | :1                             | Subscribing for events
18:26:14.704 |I| Launcher                       | :1                             | Start running backend
18:26:15.092 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
18:26:15.110 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
18:26:16.810 |V| Launcher                       | :1                             | Ready!
