21:19:21.304 |I| Launcher                       | :1                             | Checking if build hasn't expired.
21:19:21.319 |I| Launcher                       | :1                             | Starting RiderFlow frontend
21:19:21.331 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
21:19:21.340 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
21:19:21.433 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
21:19:21.435 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 52405
21:19:21.436 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:29 | ServerSocket-UnityServer : accepting, port: 52405
21:20:11.243 |I| Launcher                       | :1                             | Creating Root ScriptableObject
21:20:11.247 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\KALAN\AppData\Roaming\RiderFlow. Trying to extract use guid...
21:20:11.252 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
21:20:11.252 |I| Launcher                       | :1                             | Subscribing for events
21:20:11.267 |I| Launcher                       | :1                             | Start running backend
21:20:12.268 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
21:20:12.278 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
21:20:16.596 |V| Launcher                       | :1                             | Ready!
21:21:07.946 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:29 | ServerSocket-UnityServer : accepted
21:21:07.946 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:29 | ServerSocket-UnityServer : connected
21:21:07.948 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:29 | RESUME :: state=AsyncProcessing
