14:51:56.490 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:51:56.497 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:51:56.501 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:51:56.503 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:51:56.503 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:51:56.504 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 55494
14:51:56.505 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer : accepting, port: 55494
14:51:58.522 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:51:58.523 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\Luke\AppData\Roaming\RiderFlow. Trying to extract use guid...
14:51:58.523 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:51:58.523 |I| Launcher                       | :1                             | Subscribing for events
14:51:58.524 |I| Launcher                       | :1                             | Start running backend
14:51:58.799 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:51:58.807 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:51:59.224 |V| Launcher                       | :1                             | Ready!
